"difference","startDate","startSentiment","endSentiment","endDate","ticker","startCount","endCount","countRatio","countSlope","changeInSentimentSlope","normalizedCountSlope","normalizedSentimentSlope","normalizedDifference","normalizedCountRatio","priceOnStartDate","priceOnEndDate","priceOnEndDate3","priceOnEndDate7","priceOnEndDate15","priceOnEndDate30","decision"
"-148","2016-01-13","146","-2","2016-01-14","gpro","264","1","0.003787878787878788","263","-148","0.9945454545454545","0","0","0","14.61","12.48","10.57","10.68","11.45","11.59","short"
"-112","2016-01-05","135","23","2016-01-06","fit","108","12","0.1111111111111111","96","-112","0.6909090909090909","0.12162162162162163","0.12162162162162163","0.0003765777500143985","24.299999","22.9","18.85","19.85","18.190001","15.73","short"
"-96","2016-01-01","108","12","2016-01-03","gbsn","166","11","0.06626506024096386","77.5","-48","0.6572727272727272","0.33783783783783783","0.17567567567567569","0.00021922109416146494","0.943","0.943","0.658","0.44","0.2","0.21","short"
"-86","2016-01-22","91","5","2016-01-25","gbsn","124","3","0.024193548387096774","40.333333333333336","-28.666666666666668","0.5896969696969696","0.40315315315315314","0.20945945945945946","0.00007159979231772815","0.24","0.23","0.227","0.234","0.191","0.195","short"
"-81","2016-01-01","84","3","2016-01-03","sune","73","2","0.0273972602739726","35.5","-40.5","0.5809090909090909","0.36317567567567566","0.22635135135135134","0.00008284103606279678","5.75","5.75","5.51","3.34","2.47","2.79","short"
"-75","2016-01-13","76","1","2016-01-14","fit","42","1","0.023809523809523808","41","-75","0.5909090909090909","0.24662162162162163","0.24662162162162163","0.00007025231975058527","19.85","18.870001","17.66","18.190001","16.6","14.9","short"
"-60","2016-01-13","57","-3","2016-01-15","nflx","88","4","0.045454545454545456","42","-30","0.5927272727272728","0.39864864864864863","0.2972972972972973","0.00014620077353500182","106.559998","104.040001","107.889999","100.720001","94.089996","89.050003","short"
"-59","2016-01-13","56","-3","2016-01-14","free","23","1","0.043478260869565216","22","-59","0.5563636363636364","0.30067567567567566","0.30067567567567566","0.00013926634949381595","0.01","0.01","0.26","0.19","0.16","0.06","short"
"-59","2016-01-01","62","3","2016-01-03","aapl","149","9","0.06040268456375839","70","-29.5","0.6436363636363637","0.40033783783783783","0.30067567567567566","0.00019865108155121963","105.349998","105.349998","100.699997","98.529999","96.660004","94.480003","short"
"-51","2016-01-08","38","-13","2016-01-11","sune","137","52","0.3795620437956204","28.333333333333332","-17","0.5678787878787879","0.44256756756756754","0.3277027027027027","0.0013185233663664294","3.41","3.34","2.82","2.47","3.05","2.36","short"
"-49","2016-01-13","49","0","2016-01-14","gbsn","79","1","0.012658227848101266","78","-49","0.6581818181818182","0.3344594594594595","0.3344594594594595","0.00003112444545912006","0.266","0.242","0.2","0.207","0.235","0.263","short"
